5K,50K,500K,5M
0.0,0.005549344547515287,0.002294900292516087,0.004910001127226793
0.0,0.001913998978226852,0.0017822523534175487,0.0015834897919586818
0.0,0.0018671170159639554,0.0018974891616265126,0.0020942713360075135
0.0,2.288646870648301E-4,1.6063341654630573E-4,8.84343717367212E-4
0.0,0.0010869244743973504,0.007428964895300379,2.48454341146679E-4
0.0,0.0029466301764074013,0.005377948786896,0.001406308438959867
0.0,0.0015853680164315388,4.670477290088765E-4,2.3998460760773726E-4
0.0,3.7131373652205506E-4,0.0017667501148717773,0.003144686709701003
0.0,1.5478887133027567E-4,8.351563233994103E-4,5.428768766685632E-4
0.0,4.5507848675453813E-4,7.912446843869989E-4,0.004628252643855608
0.0,0.001325482411468984,7.748144393800181E-4,0.0012834963580745768
0.0,6.210212590780476E-4,8.751509709083559E-4,0.0026621073891499886
0.0,5.810870817820353E-4,9.09701742418599E-5,2.356614864758631E-4
0.0,0.002245324160839838,0.00265912380530811,0.0017524015769106842
0.0,0.001999511052721912,0.00130679638926885,0.0023367734226072733
0.0,0.003124375135319135,4.4839196393251436E-5,6.649241057097246E-4
0.0,0.001512893930579669,0.0012456388690912743,0.00236791720593846
0.0,5.846174570526467E-4,7.414587306916425E-4,0.0010113676868677365
0.0,0.001199732676271336,6.518900520353631E-4,2.186648726171416E-4
0.0,0.0013209662604782638,0.002101152111493534,0.0013266520379632716
0.0,0.0029332768564233357,0.0018879463528124665,6.192522642056546E-4
0.0,4.0506762657170446E-4,6.358029876420868E-4,0.0025684781511321683
0.0,6.121311721563385E-4,0.00294621161870957,0.0038383809207258256
0.0,6.595768302528855E-4,0.0013065095921952312,0.0016991529234811383
0.0,0.0012008834385376086,0.006634485956570225,5.283356008093942E-4
0.0,4.460049003360106E-4,3.819532992846047E-4,0.0022549191095697766
0.0,0.0030052872843290474,9.93197236091199E-4,0.00312131981533445
0.0,0.0012440066851012186,0.001800045129968625,0.001123821858081073
0.0,1.7711372181115662E-4,1.090843081831172E-4,2.869812936988016E-4
0.0,9.400341397460297E-4,0.002868870222301066,0.0021533364766256405
0.0,0.0013932579456534114,0.004052595807806613,0.003791576941625077
0.0,4.8072811668367844E-4,0.0014535383119335082,9.558959277189763E-4
0.0,0.001972093578351297,0.0016604588735630455,0.0024048488819745665
0.0,8.908762207723492E-5,0.0013637492407613154,9.631474047714612E-4
0.0,5.029346415297155E-4,0.00482225264886777,0.0016231412632461974
0.0,0.002020835142838287,0.001758473690766834,2.831654172521819E-4
0.0,6.0788780443809276E-6,0.0013175527326372346,1.1235660356690791E-4
0.0,0.0017194865347048868,4.250183942407248E-4,8.51518668284006E-4
0.0,7.013789600072335E-4,0.002232877302318335,5.397091128955009E-4
0.0,0.001094077404399649,6.449878443067326E-4,0.0020776977571267162
0.0,2.8737151176181E-4,0.0015001193159254128,1.596931870866771E-4
0.0,7.955062002187056E-4,8.823068721679308E-4,2.7601211160250478E-5
0.0,0.0012131932051969118,0.001036016359923613,0.002219186305861502
0.0,7.970862127602473E-4,8.213629484269713E-4,0.0017567558982639552
0.0,0.0020416855939780093,0.0012928812740392555,0.0024589458564563673
0.0,6.352769625459063E-4,0.0015041620727992938,7.432113483114346E-4
0.0,0.0015792953518079266,1.2159057548053256E-4,7.303635657782232E-4
0.0,7.833153847997255E-4,3.9454606888396127E-4,0.0011406979281849761
0.0,9.926807309161764E-4,1.840640373846135E-4,8.112264175895232E-5
0.0,5.602383772418605E-4,0.002212929182802237,9.463997816177192E-4
0.0,4.2742945535619736E-4,0.0016764851928764437,3.1862330380044615E-4
0.0,6.689768798939861E-4,2.83044256965084E-4,3.5655791155924255E-4
0.0,0.0012800263344860494,2.5985886995910646E-5,0.0019201734925993438
0.0,0.0012701206914206256,0.004538955589233042,5.627669574996018E-4
0.0,4.6111545793119785E-4,8.814053709707175E-5,0.003509563414161165
0.0,2.264365847613455E-4,0.0010915429902514052,0.0014805454514923162
0.0,2.2215698890847891E-4,9.246466769921858E-5,4.3666304895121987E-4
0.0,0.0013170033657434028,0.001189732543799705,0.0036968952469683116
0.0,0.0018583110281642059,0.001079137981568535,0.00282840982734918
0.0,3.2299569855998424E-4,0.0016306270372398836,0.0011437286043239814
0.0,3.4512416188866245E-4,0.004347614930183661,0.0013736160078450358
0.0,2.1314095292669855E-4,1.961866207334994E-4,9.539355573017728E-4
0.0,0.0025475012350183457,0.0030869638940550625,2.293745392360559E-4
0.0,6.247690735279703E-4,0.0024688284181107775,1.1165244054589552E-4
0.0,0.0013236884530302396,0.002865402789365375,2.250574574970986E-4
0.0,0.0017230586350924085,0.00423532156161153,0.004397630064116575
0.0,4.28755313270408E-5,0.0027506531858151905,5.326088714700267E-4
0.0,9.76904396545914E-4,2.682318378920272E-4,0.0014563739082330755
0.0,1.4902824742740918E-4,0.00268187389589174,2.2632105637911064E-4
0.0,2.679884511733767E-4,0.002226552435313205,9.582254428520402E-4
0.0,4.821947799737191E-4,0.0034037758761900363,0.0027564577417043433
0.0,1.4836919749413753E-4,0.0010989945955581855,0.0033937512729316703
0.0,9.802983736701058E-5,0.0026869669202506455,8.712896800150558E-4
0.0,3.597939248402916E-4,7.369452165643154E-4,8.601103639502832E-4
0.0,0.0031473997868840743,0.0013526287321209115,0.005245832438214577
0.0,5.501423971889871E-4,0.0010273509602295688,0.002523902583537596
0.0,0.005928030484862943,8.765914129447801E-4,0.006194229640623118
0.0,0.0014146319700210333,1.4199150835728542E-4,9.741017750055045E-4
0.0,8.100897339478547E-4,0.001115052013761222,0.003712465278642413
0.0,0.004157432721179767,0.001416481795650158,0.0067592426468159154
0.0,4.464930152928332E-5,4.595214750087285E-4,0.00113851133367497
0.0,0.0029655285997778223,7.076873763208672E-4,0.004584522662477686
0.0,0.002035231670647584,0.0031119480939122523,0.0013659970468786484
0.0,0.001028520352725277,0.0029411720166658993,6.66144470688582E-4
0.0,0.0016695113978193795,0.002309436531125024,4.925413088655541E-4
0.0,7.013455561526952E-4,0.0019266816481321686,9.13337689671146E-5
0.0,6.007858407047223E-4,8.443363374717033E-4,0.003861300072073616
0.0,2.884158982624866E-5,9.165239457365456E-5,3.51564857994581E-4
0.0,1.1351017501747695E-6,2.471971131379964E-5,4.628844603557149E-5
0.0,8.271276428929774E-4,0.0036190708053425776,0.003417216838751862
0.0,0.001393897122885092,0.0012167345420150551,7.007037257732926E-4
0.0,0.001331973226371123,0.0032500993242789624,0.0024601078860105167
0.0,2.9585478672475184E-5,3.2079980744665254E-4,2.3170990687025345E-4
0.0,0.0017989444308506002,0.001099183612026399,0.001026827706346965
0.0,1.1701839230628888E-5,2.8641703407693358E-5,9.26180929793338E-6
0.0,9.075409846044089E-4,7.562146311857499E-4,6.864287617354197E-4
0.0,5.307473902252261E-4,0.0051346629568865,3.650581585804716E-4
0.0,2.626856158258522E-4,0.0012670119843244932,0.0021816611223333337
0.0,2.4163589684727288E-4,0.0015701876502380746,4.34997239325677E-4
0.0,0.00269743504012342,0.0021012671927086645,3.9771305514235576E-5
0.0,2.50198759946239E-4,0.0031105555160034523,0.0028603250493523377
0.0,0.0017121997583778822,0.0023327874988677746,0.0013232591844273577
0.0,0.0018866311274480302,0.004570263762619626,3.724616531950524E-4
0.0,1.3648482498079906E-4,2.9474264700043675E-4,4.212820627332657E-4
0.0,0.0024933597151515106,3.4661217041200595E-4,0.001081179610322691
0.0,0.0013787078642489203,3.220491972239722E-4,4.989103324705231E-4
0.0,7.509143791582496E-4,0.00152474323771463,0.0037410585329672743
0.0,0.0010465745105472583,0.003185842895222899,7.120238879287159E-4
0.0,9.330373875371466E-4,2.2801717449129626E-4,0.0010137444968758025
0.0,0.0012696493215151167,3.8552283010487277E-4,8.725453411348854E-4
0.0,9.696898929723448E-5,8.04433821822605E-4,0.00343070036682527
0.0,0.001323712286575365,9.336222708067279E-5,8.33263012024201E-4
0.0,8.126606847657088E-4,8.24717057663271E-4,0.0017948978504029028
0.0,0.003471565764995405,0.0064172764460584284,0.002171090461843055
0.0,0.0018051822125346717,0.008152499082336123,0.00250958505697849
0.0,0.0016265986161879665,0.0012398074908700249,9.420187722006E-4
0.0,0.0053403297578606835,3.355209484508073E-4,0.0016571349261119998
0.0,0.001985311466673992,1.0971541721992467E-4,0.00111520322224524
0.0,2.1871464093615192E-4,0.0011229810965005717,1.2020855546468465E-4
0.0,4.246907696068581E-6,9.122076703936038E-6,2.9561417149684208E-5
0.0,7.774568300981439E-6,8.197470615319321E-6,6.014537553524586E-6
0.0,0.0010785789278034128,5.892756332103714E-4,0.001237436381433908
0.0,0.0017041386707521836,4.050672661135213E-4,0.002860492220143623
0.0,0.002725145904648,2.5827904191519294E-5,0.002423420233649135
0.0,0.0015476709111101332,0.003877482207520366,2.1267518377283056E-4
0.0,0.0016594638604560254,0.003263312584075817,5.765191284184625E-5
0.0,0.0022368283765303327,0.0059777655719567705,4.04031994246665E-4
0.0,2.5856373179720027E-4,0.001320039836044578,0.0020403061592147325
0.0,0.0015844066246704705,0.0027758724802020014,1.7146610199229214E-4
0.0,0.0018138304314508622,3.093920985639536E-4,5.031347046822535E-4
0.0,0.0020779203474108176,0.001532656283369425,0.0011431793474877645
0.0,2.315937155702299E-4,0.005154487587062025,0.0022402186119480417
0.0,2.670694239964423E-4,0.0018586977006589376,3.0348887820665814E-4
0.0,6.054651074820984E-4,0.0014973346713644457,0.0025439322210575057
0.0,5.147263566939141E-6,8.355087385876729E-5,1.8532342856463516E-4
0.0,2.7164492872782937E-4,8.096487932246829E-4,5.341785493687335E-4
0.0,0.0028838992063102255,0.0022933192432682166,9.792765085786406E-4
0.0,2.0856629334568355E-4,9.646964521310847E-4,3.777122672620792E-4
0.0,0.002319677340138196,0.00290557354446199,0.0020523885523916017
